"","HLTH_SERVICE_DLVR_AREA_NAME","year","month","date","pm25","scenario","background_pm25","wildfire_pm25"
"1","East Kootenay",2012,1,2012-01-01,8.49178220090104,"historical",NA,NA
"2","East Kootenay",2012,2,2012-02-01,9.06619427443501,"historical",NA,NA
"3","East Kootenay",2012,3,2012-03-01,7.39491496688537,"historical",NA,NA
"4","East Kootenay",2012,4,2012-04-01,6.37778831287501,"historical",NA,NA
"5","East Kootenay",2012,5,2012-05-01,5.99716400502491,"historical",NA,NA
"6","East Kootenay",2012,6,2012-06-01,5.75426805518194,"historical",NA,NA
"7","East Kootenay",2012,7,2012-07-01,7.23751942728233,"historical",NA,NA
"8","East Kootenay",2012,8,2012-08-01,6.74508414408348,"historical",NA,NA
"9","East Kootenay",2012,9,2012-09-01,7.63539290704016,"historical",NA,NA
"10","East Kootenay",2012,10,2012-10-01,7.04754489259018,"historical",NA,NA
"11","East Kootenay",2012,11,2012-11-01,7.82588676674442,"historical",NA,NA
"12","East Kootenay",2012,12,2012-12-01,7.80137723465391,"historical",NA,NA
"13","East Kootenay",2013,1,2013-01-01,9.42486242003158,"historical",NA,NA
"14","East Kootenay",2013,2,2013-02-01,8.96727855975196,"historical",NA,NA
"15","East Kootenay",2013,3,2013-03-01,7.63222382901113,"historical",NA,NA
"16","East Kootenay",2013,4,2013-04-01,6.2922590835277,"historical",NA,NA
"17","East Kootenay",2013,5,2013-05-01,5.73094694254614,"historical",NA,NA
"18","East Kootenay",2013,6,2013-06-01,5.71676893690681,"historical",NA,NA
"19","East Kootenay",2013,7,2013-07-01,6.05434479053801,"historical",NA,NA
"20","East Kootenay",2013,8,2013-08-01,8.3977492051336,"historical",NA,NA
"21","East Kootenay",2013,9,2013-09-01,6.36637502064443,"historical",NA,NA
"22","East Kootenay",2013,10,2013-10-01,8.59439501669061,"historical",NA,NA
"23","East Kootenay",2013,11,2013-11-01,9.9185469023514,"historical",NA,NA
"24","East Kootenay",2013,12,2013-12-01,8.78228414932908,"historical",NA,NA
"25","East Kootenay",2014,1,2014-01-01,9.17205709000816,"historical",NA,NA
"26","East Kootenay",2014,2,2014-02-01,8.45967230259163,"historical",NA,NA
"27","East Kootenay",2014,3,2014-03-01,7.60959103018224,"historical",NA,NA
"28","East Kootenay",2014,4,2014-04-01,6.33002835486343,"historical",NA,NA
"29","East Kootenay",2014,5,2014-05-01,5.7426875139966,"historical",NA,NA
"30","East Kootenay",2014,6,2014-06-01,5.41332740158017,"historical",NA,NA
"31","East Kootenay",2014,7,2014-07-01,9.1607640721888,"historical",NA,NA
"32","East Kootenay",2014,8,2014-08-01,11.9275076460361,"historical",NA,NA
"33","East Kootenay",2014,9,2014-09-01,5.78004312192384,"historical",NA,NA
"34","East Kootenay",2014,10,2014-10-01,7.20951555747263,"historical",NA,NA
"35","East Kootenay",2014,11,2014-11-01,9.07688791822205,"historical",NA,NA
"36","East Kootenay",2014,12,2014-12-01,9.16614208483546,"historical",NA,NA
"37","East Kootenay",2015,1,2015-01-01,9.43408245067815,"historical",NA,NA
